major,median_starting,median_mid,10p_mid,25p_mid,75p_mid,90p_mid
Accounting,46000,77100,42200,56100,108000,152000
Aerospace Engineering,57700,101000,64300,82100,127000,161000
Agriculture,42600,71900,36300,52100,96300,150000
Anthropology,36800,61500,33800,45500,89300,138000
Architecture,41600,76800,50600,62200,97000,136000
Art History,35800,64900,28800,42200,87400,125000
Biology,38800,64800,36900,47400,94500,135000
Business Management,43000,72100,38800,51500,102000,147000
Chemical Engineering,63200,107000,71900,87300,143000,194000
Chemistry,42600,79900,45300,60700,108000,148000
Civil Engineering,53900,90500,63400,75100,115000,148000
Communications,38100,70000,37500,49700,98800,143000
Computer Engineering,61400,105000,66100,84100,135000,162000
Computer Science,55900,95500,56000,74900,122000,154000
Construction,53700,88900,56300,68100,118000,171000
Criminal Justice,35000,56300,32200,41600,80700,107000
Drama,35900,56900,36700,41300,79100,153000
Economics,50100,98600,50600,70600,145000,210000
Education,34900,52000,29300,37900,73400,102000
Electrical Engineering,60900,103000,69300,83800,130000,168000
English,38000,64700,33400,44800,93200,133000
Film,37900,68500,33900,45500,100000,136000
Finance,47900,88300,47200,62100,128000,195000
Forestry,39100,62600,41000,49300,78200,111000
Geography,41200,65500,40000,50000,90800,132000
Geology,43500,79500,45000,59600,101000,156000
Graphic Design,35700,59800,36000,45500,80800,112000
Health Care Administration,38800,60600,34600,45600,78800,101000
History,39200,71000,37000,49200,103000,149000
Hospitality & Tourism,37800,57500,35500,43600,81900,124000
Industrial Engineering,57700,94700,57100,72300,132000,173000
Information Technology (IT),49100,74800,44500,56700,96700,129000
Interior Design,36100,53200,35700,42600,72500,107000
International Relations,40900,80900,38200,56000,111000,157000
Journalism,35600,66700,38400,48300,97700,145000
Management Information Systems (MIS),49200,82300,45300,60500,108000,146000
Marketing,40800,79600,42100,55600,119000,175000
Math,45400,92400,45200,64200,128000,183000
Mechanical Engineering,57900,93600,63700,76200,120000,163000
Music,35900,55000,26700,40200,88000,134000
Nursing,54200,67000,47600,56400,80900,98300
Nutrition,39900,55300,33900,44500,70500,99200
Philosophy,39900,81200,35500,52800,127000,168000
Physician Assistant,74300,91700,66400,75200,108000,124000
Physics,50300,97300,56000,74200,132000,178000
Political Science,40800,78200,41200,55300,114000,168000
Psychology,35900,60400,31600,42100,87500,127000
Religion,34100,52000,29700,36500,70900,96400
Sociology,36500,58200,30700,40400,81200,118000
Spanish,34000,53100,31000,40000,76800,96400
